player_id,season,all_nba_lag1,all_defense_lag1,mvp_lag1,dpoy_lag1,allstar_lag1,career_all_nba_count,career_allstar_count,career_mvp_count,career_dpoy_count,career_all_defense_count,all_nba_3y_window,supermax_eligible_loose
abrinal01,2016,0,0,0,0,0,0,0,0,0,0,0,0
abrinal01,2017,0,0,0,0,0,0,0,0,0,0,0,0
abrinal01,2018,0,0,0,0,0,0,0,0,0,0,0,0
abrinal01,2019,0,0,0,0,0,0,0,0,0,0,0,0
abrinal01,2020,0,0,0,0,0,0,0,0,0,0,0,0
abrinal01,2021,0,0,0,0,0,0,0,0,0,0,0,0
abrinal01,2022,0,0,0,0,0,0,0,0,0,0,0,0
abrinal01,2023,0,0,0,0,0,0,0,0,0,0,0,0
abrinal01,2024,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2016,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2017,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2018,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2019,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2020,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2021,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2022,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2023,0,0,0,0,0,0,0,0,0,0,0,0
achiupr01,2024,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2016,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2017,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2018,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2019,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2020,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2021,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2022,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2023,0,0,0,0,0,0,0,0,0,0,0,0
acyqu01,2024,0,0,0,0,0,0,0,0,0,0,0,0
adamsja01,2016,0,0,0,0,0,0,0,0,0,0,0,0
adamsja01,2017,0,0,0,0,0,0,0,0,0,0,0,0
adamsja01,2018,0,0,0,0,0,0,0,0,0,0,0,0
adamsja01,2019,0,0,0,0,0,0,0,0,0,0,0,0
adamsja01,2020,0,0,0,0,0,0,0,0,0,0,0,0
